https://baseconnect.in/companies/b77d274a-8eb4-41c1-8127-84b06cbd488c,楽天グループ株式会社,〒158-0094東京都世田谷区玉川１丁目１４番１号,4526億4600万円,1000億円以上,東証プライム,三木谷浩史
https://baseconnect.in/companies/f251ae7a-acb2-4149-805f-b3b55009dcdf,ＬＩＮＥヤフー株式会社,〒102-0094東京都千代田区紀尾井町１番３号,2471億2700万円,1000億円以上,東証プライム,出澤剛
https://baseconnect.in/companies/da23212d-1431-4897-ad40-ddcf0b6fdc66,ＴＯＰＰＡＮ株式会社,〒110-0016東京都台東区台東１丁目５番１号,5億円,,未上場,齊藤昌典
https://baseconnect.in/companies/35675d09-b293-48d6-b228-d5d11fdc9dab,中部電力パワーグリッド株式会社,〒461-0006愛知県名古屋市東区東新町１番地,400億円,,未上場,清水隆一
https://baseconnect.in/companies/6eb4bdbe-231a-458d-9253-c64cfa6ad54d,富士フイルムビジネスイノベーションジャパン株式会社,〒135-0061東京都江東区豊洲２丁目２番１号,5億円,,未上場,旗生泰一
https://baseconnect.in/companies/ac8911de-a619-4100-9b8e-40131125c52f,日鉄テックスエンジ株式会社,〒100-0005東京都千代田区丸の内２丁目５番２号,54億7000万円,,未上場,小野山修平
https://baseconnect.in/companies/66a4ddba-3daa-4d31-99f0-437a656fcd3c,株式会社日立システムズ,〒141-0032東京都品川区大崎１丁目２番１号,191億6200万円,1000億円以上,未上場,柴原節男
https://baseconnect.in/companies/e6bf81bd-227d-4a36-8a9f-668ec404c051,富士ソフト株式会社,〒231-0062神奈川県横浜市中区桜木町１丁目１番地,262億28万円,1000億円以上,東証プライム,坂下智保
https://baseconnect.in/companies/a8f6b6e5-30e0-4bf8-9fd5-a2aa325dc6e5,株式会社東芝,〒105-0023東京都港区芝浦１丁目１番１号,2008億6900万円,300億〜1000億円,未上場,島田太郎
https://baseconnect.in/companies/60ea728b-5a0c-4221-9224-fbc8a605451c,日本アイ・ビー・エム株式会社,〒105-0001東京都港区虎ノ門２丁目６番１号,1053億円,1000億円以上,未上場,山口明夫
https://baseconnect.in/companies/83c678cc-bb96-4cdf-90a7-f7a3e0a68929,株式会社野村総合研究所,〒100-0004東京都千代田区大手町１丁目９番２号,256億5541万3800円,1000億円以上,東証プライム,柳澤花芽
https://baseconnect.in/companies/1f5dfbec-c79f-40a3-ad01-29f9b1b47fa3,大日本印刷株式会社,〒162-0062東京都新宿区市谷加賀町１丁目１番１号,1144億6400万円,1000億円以上,東証プライム,北島義斉
https://baseconnect.in/companies/ebf84a84-26ec-40b5-bcd8-8457029d4acf,ＮＴＴビジネスソリューションズ株式会社,〒530-0011大阪府大阪市北区大深町３番１号,1億円,,未上場,北山泰三
https://baseconnect.in/companies/e0e8c32b-2b03-411b-af92-f8301a708bf4,富士通Ｊａｐａｎ株式会社,〒212-0014神奈川県川崎市幸区大宮町１番地５,122億2000万円,1000億円以上,未上場,砂田敬之
https://baseconnect.in/companies/cf0f6a84-4b51-462b-b2f8-23c6c5582536,ＳＣＳＫ株式会社,〒135-0061東京都江東区豊洲３丁目２番２０号,214億2000万円,1000億円以上,東証プライム,當麻隆昭
https://baseconnect.in/companies/b3e67c44-3d19-4269-bde8-6efb0138145d,パナソニックコネクト株式会社,〒812-0017福岡県福岡市博多区美野島４丁目１番６２号,2593億円,1000億円以上,未上場,樋口泰行
https://baseconnect.in/companies/111a19a6-c084-420f-a178-40b32530589c,株式会社大塚商会,〒102-0072東京都千代田区飯田橋２丁目１８番４号,103億7485万1000円,1000億円以上,東証プライム,大塚裕司
https://baseconnect.in/companies/34a4e7dd-dd8b-4bdb-bb3f-f33ab1590e16,株式会社マイナビ,〒100-0003東京都千代田区一ツ橋１丁目１番１号,21億210万円,1000億円以上,未上場,土屋芳明
https://baseconnect.in/companies/f40a29a6-e337-4c1f-9c06-52fd90c7ee4e,株式会社マーブル,〒103-0023東京都中央区日本橋本町４丁目８番１４号,,300億〜1000億円,未上場,
https://baseconnect.in/companies/7e473995-a57d-45f4-873a-722803062f2c,株式会社エヌ・ティ・ティエムイー,〒160-0023東京都新宿区西新宿３丁目１９番２号,1億円,1000億円以上,未上場,星野理彰
https://baseconnect.in/companies/732f201b-b0b0-4a9c-a9c4-ddf5731b1c6c,パーソルキャリア株式会社,〒106-0041東京都港区麻布台１丁目３番１号,11億2700万円,1000億円以上,未上場,瀬野尾裕
https://baseconnect.in/companies/45ff636c-20fe-422c-b143-b6473a603ea5,株式会社スタッフブリッジ,〒510-0883三重県四日市市泊小柳町１番１８号,5000万円,,未上場,川島勝士
