URL,Name,Address,Capital,Sales,Market,President
https://baseconnect.in/companies/5bd9e3f2-0a1e-40c2-a800-a526c1176d14,岡谷システム株式会社,〒460-0008愛知県名古屋市中区栄２丁目４番１８号,4567万5000円,10億〜50億円,未上場,情報あり
https://baseconnect.in/companies/435fbec4-cae9-4446-a3ec-c83ce441eb5b,株式会社エブリー,〒106-0032東京都港区六本木３丁目２番１号,26億4600万円,,未上場,情報あり
https://baseconnect.in/companies/c8026fbb-9c78-446d-b4cd-3f84c211b057,ＮＥＣセキュリティ株式会社,〒105-0021東京都港区東新橋１丁目９番２号,3億円,,未上場,情報あり
https://baseconnect.in/companies/8974c20c-d342-4c85-baff-c295368ee0a2,日本ペットフード株式会社,〒140-0002東京都品川区東品川２丁目２番４号,1億円,50億〜300億円,未上場,情報あり
https://baseconnect.in/companies/66ffb8a9-e542-4858-a277-ebb1c2871513,Ｕｂｅｒ　Ｅａｔｓ　Ｊａｐａｎ合同会社,〒106-0032東京都港区六本木１丁目９番１０号,100万円,,未上場,情報あり
https://baseconnect.in/companies/46418042-fa9e-4e86-9d7d-9e35e97a1e3d,理研産業株式会社,〒730-0051広島県広島市中区大手町４丁目６番２７号,6000万円,50億〜300億円,未上場,情報あり
https://baseconnect.in/companies/dc02e23d-1a5f-4b2c-ab55-264ed8c456b5,三井金属ユアソフト株式会社,〒506-1147岐阜県飛騨市神岡町東雲７８５番地,1億円,10億〜50億円,未上場,情報あり
https://baseconnect.in/companies/eb4ed2f4-4727-4c58-89d6-3fde90cee953,株式会社オーネスト,〒113-0033東京都文京区本郷４丁目３７番１７号,9000万円,10億〜50億円,未上場,情報あり
https://baseconnect.in/companies/02b59082-512f-43bf-a22a-bbcc5cf225a7,商船三井システムズ株式会社,〒105-0001東京都港区虎ノ門２丁目１番１号,1億円,50億〜300億円,未上場,情報あり
https://baseconnect.in/companies/eb9547ba-c0ed-4e5b-9a16-e9fc437a69ce,株式会社ワイ・シー・シー,〒400-0035山梨県甲府市飯田３丁目１番２号,2億1200万円,10億〜50億円,未上場,情報あり
https://baseconnect.in/companies/cb15146b-5dac-4cc1-8a85-1273d2d76cfc,株式会社システムベース,〒024-0004岩手県北上市村崎野１９地割１１６番地４,3000万円,10億〜50億円,未上場,情報あり
https://baseconnect.in/companies/listing_market,上場区分ごとに会社を探す,,,,,
https://baseconnect.in/companies/3e8b8811-3434-4ba5-aa73-27bd9c276b00,株式会社ウフル,〒105-0001東京都港区虎ノ門４丁目１番１号,11億2899万9000円,,未上場,
https://baseconnect.in/companies/prefecture,都道府県・市町村ごとに会社を探す,,,,,
https://baseconnect.in/companies/d127084c-e902-4ea9-9a08-be853052ab94,日本電営株式会社,〒101-0044東京都千代田区鍛冶町２丁目６番１号（堀内ビル）,3000万円,10億〜50億円,未上場,情報あり
https://baseconnect.in/companies/4c05c32f-97a6-4fd0-acec-89047d859695,株式会社ピクシス・テクノロジーズ,〒104-0032東京都中央区八丁堀２丁目２４番３号ＰＭＯ八丁堀Ⅱ２階,2000万円,10億〜50億円,未上場,情報あり
https://baseconnect.in/companies/a24aadef-ea5a-4f6a-bc7d-0be5f74beb8d,三菱電機株式会社,〒100-0005東京都千代田区丸の内２丁目７番３号,1758億2000万円,1000億円以上,東証プライム,情報あり
https://baseconnect.in/companies/6ee9079b-f656-40aa-aaad-0d0fc8e4b25d,株式会社メディパルホールディングス,〒104-0031東京都中央区京橋３丁目１番１号,223億9800万円,1000億円以上,東証プライム,情報あり
